+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                                                                                           URI                                                                                           |
|     1 | 1.604 | 1.604 |   1.604 | 1.604 | 1.604 | 1.604 | 1.604 |  0.000 |  50302.000 |  50302.000 |    50302.000 |  50302.000 | GET    | /?page=6                                                                                                                                                                                |
|     1 | 1.601 | 1.601 |   1.601 | 1.601 | 1.601 | 1.601 | 1.601 |  0.000 |  44932.000 |  44932.000 |    44932.000 |  44932.000 | GET    | /?page=14                                                                                                                                                                               |
|     2 | 0.735 | 0.824 |   1.559 | 0.779 | 0.735 | 0.735 | 0.735 |  0.044 |   7876.000 |   9432.000 |    17308.000 |   8654.000 | GET    | /keyword/%E4%BD%9C%E6%9B%B2%E8%B3%9E                                                                                                                                                    |
|     1 | 1.484 | 1.484 |   1.484 | 1.484 | 1.484 | 1.484 | 1.484 |  0.000 |  66068.000 |  66068.000 |    66068.000 |  66068.000 | GET    | /?page=72                                                                                                                                                                               |
|     1 | 1.445 | 1.445 |   1.445 | 1.445 | 1.445 | 1.445 | 1.445 |  0.000 |  36916.000 |  36916.000 |    36916.000 |  36916.000 | GET    | /?page=44                                                                                                                                                                               |
|     1 | 1.436 | 1.436 |   1.436 | 1.436 | 1.436 | 1.436 | 1.436 |  0.000 | 132839.000 | 132839.000 |   132839.000 | 132839.000 | GET    | /?page=22                                                                                                                                                                               |
|     2 | 0.568 | 0.813 |   1.381 | 0.690 | 0.568 | 0.568 | 0.568 |  0.122 |   3779.000 |   4118.000 |     7897.000 |   3948.500 | GET    | /keyword/1109%E5%B9%B4                                                                                                                                                                  |
|     2 | 0.357 | 1.023 |   1.380 | 0.690 | 0.357 | 0.357 | 0.357 |  0.333 |   3467.000 |   3467.000 |     6934.000 |   3467.000 | GET    | /keyword/%E3%82%A4%E3%83%89%E3%83%AA%E3%83%BC%E3%82%B9                                                                                                                                  |
|     2 | 0.228 | 1.137 |   1.365 | 0.682 | 0.228 | 0.228 | 0.228 |  0.455 |   2356.000 |   2356.000 |     4712.000 |   2356.000 | GET    | /keyword/%E8%97%AA%E7%94%B0%E6%9D%91                                                                                                                                                    |
|     1 | 1.358 | 1.358 |   1.358 | 1.358 | 1.358 | 1.358 | 1.358 |  0.000 |  59004.000 |  59004.000 |    59004.000 |  59004.000 | GET    | /?page=40                                                                                                                                                                               |
